sale_id,sale_date,product_id,customer_id,quantity,unit_price,total_price,store,channel
1,2024-05-07,SKU-1326,266,1,449,449,Online,Online
2,2024-12-20,SKU-1080,486,1,1699,1699,Dallas NorthPark,In-Store
3,2025-10-12,SKU-1299,490,1,1449,1449,Chicago Michigan Ave,Online
4,2025-05-29,SKU-1075,329,1,1599,1599,Online,In-Store
5,2025-09-11,SKU-1038,173,1,1299,1299,Miami Dadeland,In-Store
6,2024-02-16,SKU-1291,486,1,1499,1499,San Francisco Union Square,In-Store
7,2025-03-02,SKU-1218,317,1,799,799,San Francisco Union Square,Online
8,2024-11-05,SKU-1208,248,1,699,699,Online,In-Store
9,2025-12-06,SKU-1101,31,1,799,799,Online,Online
10,2024-05-27,SKU-1124,161,1,1699,1699,Miami Dadeland,Online
11,2025-02-12,SKU-1357,67,1,549,549,Austin Domain,Online
12,2024-05-05,SKU-1026,137,1,1199,1199,New York 5th Ave,Online
13,2025-09-22,SKU-1012,215,2,1099,2198,Online,In-Store
14,2025-08-14,SKU-1039,370,1,1299,1299,Online,In-Store
15,2025-05-25,SKU-1145,451,1,3799,3799,Online,Online
16,2024-09-03,SKU-1340,111,1,629,629,Chicago Michigan Ave,Online
17,2025-10-31,SKU-1070,345,1,1599,1599,Los Angeles Grove,Online
18,2024-09-27,SKU-1300,373,1,1599,1599,Online,Online
19,2025-07-29,SKU-1011,100,1,1099,1099,Online,Online
20,2025-07-17,SKU-1096,144,1,699,699,Miami Dadeland,In-Store
21,2024-04-09,SKU-1201,202,1,699,699,Online,In-Store
22,2024-05-27,SKU-1179,102,1,499,499,San Francisco Union Square,Online
23,2025-12-31,SKU-1010,171,1,1099,1099,Miami Dadeland,Online
24,2024-05-23,SKU-1037,168,2,1299,2598,Boston Boylston,Online
25,2024-11-02,SKU-1098,304,1,699,699,Online,In-Store
26,2024-11-02,SKU-1169,244,1,349,349,Miami Dadeland,Online
27,2025-08-20,SKU-1228,158,3,899,2697,Miami Dadeland,In-Store
28,2025-04-30,SKU-1233,136,1,649,649,Dallas NorthPark,In-Store
29,2024-02-22,SKU-1270,299,1,1399,1399,Los Angeles Grove,Online
30,2025-01-24,SKU-1247,76,1,849,849,Miami Dadeland,Online
31,2024-07-14,SKU-1185,10,1,499,499,New York 5th Ave,Online
32,2025-05-28,SKU-1102,397,1,799,799,San Francisco Union Square,Online
33,2025-12-23,SKU-1300,71,1,1599,1599,Los Angeles Grove,In-Store
34,2025-01-20,SKU-1360,161,1,549,549,Dallas NorthPark,Online
35,2025-11-23,SKU-1169,396,1,349,349,Boston Boylston,In-Store
36,2025-05-10,SKU-1282,99,1,1499,1499,Dallas NorthPark,Online
37,2024-10-31,SKU-1074,395,2,1599,3198,Online,Online
38,2024-12-23,SKU-1241,287,1,749,749,Dallas NorthPark,In-Store
39,2025-11-23,SKU-1068,279,1,1499,1499,Online,In-Store
40,2024-05-29,SKU-1288,149,2,1649,3298,Online,In-Store
41,2025-11-02,SKU-1019,132,2,1099,2198,Austin Domain,Online
